h2,ch4,c2h6,c2h4,c2h2,fault
1230.0,163.0,27.0,233.0,692.0,2.0
810.0,580.0,111.0,570.0,490.0,3.0
1549.2,10.2,0.001,53.19,0.001,1.0
123.0,50.7,9.0,62.0,65.9,3.0
30.4,117.0,44.2,138.0,0.1,5.0
39.0,7.0,12.0,65.0,0.001,6.0
57.0,141.0,38.0,51.0,0.001,5.0
17.0,21.0,118.0,0.001,4.0,4.0
800.0,160.0,23.0,260.0,600.0,3.0
440.0,89.0,19.0,304.0,757.0,3.0
155.0,49.0,69.3,42.0,10.7,3.0
23.0,63.0,54.0,10.0,0.3,2.0
31.0,56.0,33.0,77.0,0.0001,5.0
9.0,47.0,144.0,628.0,0.0001,6.0
75.0,15.0,7.0,14.0,250.0,3.0
4.0,1.0,2.0,7.0,52.0,2.0
307.0,22.0,2.0,33.0,109.0,3.0
755.0,229.0,32.0,404.0,460.0,3.0
103.5,4.7,16.3,3.5,0.001,1.0
39.4,65.2,103.9,8.1,0.001,4.0
25.0,49.0,42.0,58.0,0.001,5.0
117.0,17.0,1.0,3.0,1.0,1.0
716.0,7.1,33.0,20.0,6.8,2.0
19.0,47.0,27.0,62.0,0.001,5.0
24.0,109.0,69.0,0.0001,0.0001,4.0
128.0,35.0,213.0,17.0,0.001,4.0
295.0,1466.0,331.0,1295.0,32.0,5.0
113.0,21.0,48.0,0.001,4.0,1.0
407.0,28.0,15.0,21.0,0.001,1.0
145.88,40.65,9.37,34.02,59.71,3.0
595.0,80.0,9.0,89.0,244.0,2.0
9.0,3.9,0.8,4.0,13.0,2.0
0.001,100.0,309.0,1365.0,7.0,6.0
716.0,7.1,3.3,20.0,6.8,2.0
56.0,286.0,96.0,928.0,7.0,6.0
345.0,112.3,27.5,51.5,58.8,2.0
92.0,27.0,67.0,7.0,0.0001,4.0
16000.0,3600.0,670.0,14.0,0.001,1.0
2.0,41.0,133.0,9.0,21.0,3.0
111.0,2.8,47.0,0.001,27.5,2.0
500.0,97.0,193.0,40.0,121.0,2.0
36036.0,4704.0,554.0,5.0,10.0,1.0
9.0,56.0,135.0,7.0,1.0,4.0
195.7,58.0,16.4,91.6,96.9,3.0
195.9,14.5,11.6,2.4,0.0001,1.0
27.0,30.0,23.0,2.4,0.1,4.0
33046.0,619.0,58.0,2.0,0.001,1.0
37800.0,1740.0,249.0,8.0,8.0,1.0
109.0,226.0,68.0,192.0,0.0001,5.0
234.5,30.28,6.11,47.69,175.88,2.0
32930.0,2397.0,157.0,0.001,0.001,1.0
197.0,12.0,6.6,15.0,0.001,1.0
505.57,475.35,242.3,524.45,3.29,4.0
48.0,20.0,69.0,41.0,31.0,3.0
80.0,619.0,326.0,2480.0,0.001,5.0
235.0,16.0,0.001,35.0,0.001,1.0
289.0,13.4,18.2,49.8,36.3,2.0
530.0,345.0,85.0,266.0,21.0,3.0
31.0,63.0,246.0,714.0,7.0,5.0
117.0,17.0,1.0,3.0,1.0,1.0
3.0,5.0,90.0,185.0,3.0,5.0
109.0,4.0,11.0,9.0,0.001,1.0
160.0,10.0,3.0,1.0,1.0,2.0
27.0,51.0,0.001,153.0,0.001,6.0
185.0,302.0,27.0,33.0,0.001,5.0
39.4,65.2,103.9,8.1,0.001,4.0
59.0,119.0,36.0,70.0,0.001,5.0
8266.0,1061.0,22.0,0.001,0.001,1.0
35.0,11.0,0.0001,7.0,146.0,3.0
1900.0,285.0,31.0,957.0,7730.0,2.0
7600.0,1230.0,318.0,836.0,1560.0,2.0
103.0,74.0,80.0,9.0,0.0001,4.0
107.0,143.0,34.0,222.0,2.0,6.0
9474.0,4066.0,353.0,6552.0,12997.0,3.0
960.0,4000.0,1290.0,1560.0,6.0,5.0
142.0,17.0,4.0,7.0,38.0,2.0
2.0,5.0,81.0,172.0,0.001,5.0
57.0,141.0,38.0,51.0,0.0001,5.0
195.0,5.3,0.001,0.001,0.001,1.0
860.0,1670.0,30.0,2050.0,40.0,6.0
95.0,110.0,160.0,50.0,0.001,4.0
440.0,89.0,19.0,304.0,757.0,3.0
0.001,28.0,64.0,408.0,6.0,6.0
1374.0,2648.0,628.0,5376.0,298.0,6.0
0.0001,153.0,395.0,11.7,0.0001,4.0
57.0,24.0,2.0,27.0,30.0,2.0
57.0,141.0,38.0,51.0,0.001,5.0
111.7,19.4,104.1,6.4,3.8,1.0
75.0,15.0,7.0,14.0,250.0,3.0
9.0,47.0,144.0,628.0,0.001,6.0
2587.0,7.88,4.7,1.4,0.001,2.0
35.0,29.0,7.0,78.0,0.001,6.0
37.0,96.0,19.0,57.0,0.0001,5.0
111.7,19.4,104.1,6.4,3.8,1.0
102.0,6.0,6.0,7.0,10.0,2.0
163.0,26.0,7.0,19.0,133.0,2.0
20000.0,13000.0,1850.0,29000.0,57000.0,3.0
220.0,340.0,42.0,480.0,14.0,6.0
14.0,15.0,42.0,73.0,0.0001,5.0
3.0,5.0,90.0,185.0,3.0,5.0
4.0,2.0,1.0,63.0,0.001,6.0
475.3,195.8,32.6,187.3,221.2,3.0
8200.0,3790.0,250.0,4620.0,277.0,3.0
290.0,966.0,299.0,1810.0,57.0,6.0
3559.0,187.0,22.0,230.0,1140.0,2.0
6454.0,2313.0,121.0,2159.0,6432.0,2.0
47.5,22.9,4.5,9.6,15.3,2.0
35.0,6.0,3.0,26.0,482.0,2.0
24.3,15.7,6.4,11.2,29.8,1.0
105.0,23.0,13.0,4.0,3.0,1.0
55.0,22.0,0.5,2.6,0.0001,4.0
2240.0,157.0,90.0,157.0,45.0,1.0
135.0,27.0,24.0,9.0,13.0,2.0
102.0,6.0,6.0,7.0,10.0,2.0
21.0,34.0,5.0,47.0,62.0,3.0
160.0,24.7,38.5,0.0001,0.0001,1.0
181.0,262.0,41.0,28.0,0.0001,4.0
68.0,99.2,35.9,202.9,0.0001,6.0
36036.0,4704.0,554.0,5.0,10.0,1.0
295.0,1466.0,331.0,1295.0,32.0,5.0
1570.0,735.0,87.0,1330.0,1740.0,3.0
29.9,24.1,34.3,92.5,0.6,4.0
4.1,3.5,0.68,1.2,5.2,2.0
151.0,242.0,68.0,232.0,0.001,5.0
230.0,15.9,16.3,1.9,2.4,1.0
109.0,226.0,68.0,192.0,0.001,5.0
109.0,102.0,28.0,91.0,0.0001,5.0
231.0,3997.0,1726.0,5584.0,0.001,5.0
191.0,1359.0,166.0,1494.0,2.0,6.0
1230.0,163.0,27.0,233.0,692.0,2.0
1860.0,4980.0,0.001,10700.0,1600.0,6.0
20.0,26.0,6.0,55.0,0.0001,6.0
1651.0,90.0,33.0,45.0,2.0,1.0
78.0,161.0,86.0,353.0,10.0,6.0
18.0,63.0,20.0,51.0,0.001,5.0
172.0,335.0,171.0,812.0,37.8,6.0
127.0,107.0,11.0,154.0,224.0,3.0
595.0,80.0,9.0,89.0,244.0,2.0
120.0,25.0,1.0,8.0,40.0,2.0
74.0,100.0,85.0,17.0,0.001,4.0
37800.0,1740.0,249.0,8.0,8.0,1.0
13.2,18.7,97.4,79.5,4.7,4.0
185.0,302.0,27.0,33.0,0.001,5.0
5900.0,1500.0,68.0,1200.0,2300.0,3.0
16.0,98.0,35.0,64.0,0.001,5.0
29.0,71.0,158.0,20.0,0.0001,4.0
5900.0,1500.0,68.0,1200.0,2300.0,3.0
9.0,38.0,93.0,8.0,0.001,4.0
0.001,10.0,17.0,68.0,5.0,6.0
476.0,28.0,27.0,36.0,148.0,2.0
35.0,283.0,121.0,222.0,0.0001,5.0
5000.0,1200.0,83.0,1000.0,1100.0,3.0
650.0,81.0,170.0,51.0,270.0,2.0
818.0,94.0,49.0,121.0,978.0,2.0
45.0,125.0,111.0,25.0,0.0001,4.0
56.0,286.0,96.0,928.0,7.0,6.0
90.0,28.0,8.0,31.0,32.0,3.0
1270.0,3450.0,520.0,1390.0,8.0,5.0
535.0,160.0,16.0,305.0,680.0,3.0
2091.0,149.0,20.0,3.0,0.001,1.0
150.0,22.0,9.0,60.0,11.0,6.0
392.0,153.0,82.0,45.0,236.0,3.0
300.0,700.0,280.0,1700.0,36.0,6.0
0.001,4.9,81.0,172.0,0.001,5.0
119.0,8.0,23.3,7.9,12.3,2.0
30.0,25.5,31.5,93.0,1.8,6.0
26.0,68.0,93.0,31.0,59.0,3.0
69.0,174.0,267.0,15.0,0.001,4.0
134.0,13.0,267.0,0.0001,0.0001,1.0
755.0,229.0,32.0,404.0,460.0,3.0
24.0,78.0,266.0,779.0,7.0,5.0
1330.0,10.0,20.0,66.0,182.0,2.0
22.0,14.0,19.0,6.0,56.0,3.0
3.0,5.0,90.0,185.0,3.0,5.0
310.0,230.0,54.0,610.0,760.0,3.0
9340.0,995.0,60.0,6.0,7.0,1.0
8.0,0.0001,0.0001,43.0,101.0,3.0
41.0,65.0,22.0,58.0,0.0001,5.0
56.0,286.0,96.0,28.0,7.0,6.0
80.0,619.0,326.0,2480.0,0.0001,6.0
1900.0,530.0,35.0,383.0,434.0,3.0
1651.0,90.0,33.0,45.0,2.0,1.0
0.001,6.0,52.0,67.0,0.001,5.0
3420.0,7870.0,1500.0,6990.0,33.0,6.0
68.0,78.0,103.0,136.0,0.001,6.0
36.0,30.0,10.0,93.0,7.1,6.0
310.0,230.0,54.0,610.0,760.0,3.0
23.51,61.33,45.21,98.03,1.01,5.0
231.0,3997.0,1726.0,5584.0,0.0001,6.0
26788.0,18342.0,2111.0,27.0,0.0001,1.0
54.0,143.0,23.0,101.0,0.001,5.0
12705.0,23498.0,6047.0,34257.0,5188.0,6.0
2240.0,168.0,25.0,0.0001,0.0001,1.0
181.0,262.0,41.0,28.0,0.001,4.0
41.0,65.0,22.0,58.0,0.001,5.0
1900.0,285.0,31.0,957.0,7730.0,2.0
41.0,65.0,22.0,58.0,0.001,5.0
