h2,ch4,c2h6,c2h4,c2h2,act
123,50.7,9,62,65.9,3
90,28,8,31,32,3
26.6,4,0.0001,8,50,3
46,21,1,11,93,3
13,3,1,3,6,3
305,85,25,197,130,3
75,15,7,14,26,3
307,22,2,33,109,3
0.0001,21,0.0001,0.0001,40,3
88,45,57,15,39,3
80,28,4,15,107,3
755,229,32,404,460,3
530,345,85,266,250,3
310,230,54,610,760,3
620,325,38,181,244,3
4906,8784,1404,9924,9671,3
85,98,315,30,0.0001,4
12,28,102,3,0.0001,4
36,167,230,18,0.0001,4
24,47,113,10,0.0001,4
54.9,8.8,80,2.5,0.0001,4
112,68,136,9,0.0001,4
7,15,78,58,0.0001,4
219,44,3,3,0.0001,4
39.4,65.2,103.9,8.1,0.0001,4
95,110,160,50,0.0001,4
0.0001,153,395,11.7,0.0001,4
121,73,179,11,0.0001,4
74,173,263,33,0.0001,4
13,59,117,44,0.0001,4
13,138,83,16,0.0001,4
36,21,65,2,0.0001,4
9,56,135,7,1,4
0.0001,187,609,13,0.0001,4
820,1740,951,867,128,4
10,56,72,70,0.0001,4
12,18,4,4,0.0001,4
10,26,147,6,0.0001,4
143.2,123,38,75,0.0001,4
18,30,146,8,0.0001,4
27,28,136,8,0.0001,4
34,8.6,70.3,3.1,0.0001,4
113,137,173,34,0.0001,4
45,125,111,25,0.0001,4
78,66,62,2.6,0.0001,4
55,22,358,2.6,0.0001,4
10,63,176,35,0.0001,4
11,271,465,32,0.0001,4
34,30,34,2.5,0.0001,4
187,86,155,21,6,4
93.5,131.9,39,11.7,0.0001,4
48,40,11,0.5,0.0001,4
124,166,87,59,0.0001,4
8,16,88,7,0.0001,4
320,131,187,127,0.0001,4
92,27,67,7,0.0001,4
900,9180,0.0001,900,22,4
6,197,476.9,16.9,0.0001,4
0.0001,215,555,18.4,0.0001,4
78,66,283,2.6,0.0001,4
130,140,24,120,0.0001,4
10,24,80,5,0.0001,4
0.0001,224,0.0001,45,0.0001,4
19,48,76,18,0.0001,4
6,38,93,32,0.0001,4
11,46,155,18,0.0001,4
27,49,192,9,0.0001,4
103,74,80,9,0.0001,4
31.2,8.9,119,4.4,0.0001,4
0.0001,33.7,136,11.4,0.0001,4
6,3,0.8,0.7,0.0001,4
181,262,41,28,0.0001,4
14,44,124,7,1,4
1,27,49,4,1,4
50,3,1,0.0001,0.0001,4
21,14,191,90,0.0001,4
160,130,33,96,0.0001,4
16,68,157,19,0.0001,4
122,161,271,35,0.0001,4
4,99,82,4.2,0.1,4
157,46,76,12,0.0001,4
38,38,296,14,0.0001,4
24.7,20.4,117,71,6.8,4
74.8,30.1,82.3,13.6,0.0001,4
33,29,9,12,0.0001,4
74,100,85,17,0.0001,4
5,14,234,5,0.0001,4
181,162,70,132,0.0001,4
36,94,78,13,2,4
505.57,475.35,242.3,524.45,3.29,4
25,49,42,58,0.0001,5
14,15,42,73,0.0001,5
180,175,75,50,4,5
59,119,36,70,0.0001,5
185,302,27,33,0.0001,5
1270,3450,520,1390,8,5
119,670,286,934,19,5
72,442,221,461,0.7,5
16,98,35,64,0.0001,5
41,65,22,58,0.0001,5
110.6,458.8,242.6,406.4,0.0001,5
200,700,250,740,1,5
15,159,29,87,0.0001,5
18,63,20,51,0.0001,5
54,143,23,101,0.0001,5
43,116,65,139,0.0001,5
73,177,37,52,0.0001,5
57,141,38,51,0.0001,5
15,139,160,343,0.0001,5
23.51,61.33,45.21,98.03,1.01,5
2,123,7,18,0.0001,5
24,80,258,741,6,5
613,3240,1432,2788,0.0001,5
109,226,68,192,0.0001,5
35,283,121,222,0.0001,5
2,5,81,172,0.0001,5
30.4,117,44.2,138,0.1,5
0.0001,6,52,67,0.0001,5
2004,9739,2750,5113,0.0001,5
31,63,246,714,7,5
26,398,85,319,0.0001,5
152,32,28,55,0.0001,5
300,490,180,360,95,5
960,4000,1290,1560,6,5
0.67,0.224,0.045,0.067,0.002,5
0.0001,4.9,81,172,0.0001,5
24,34.6,14.2,21.7,0.0001,5
220,340,42,480,14,6
290,966,299,1810,57,6
8800,64064,72128,95650,0.0001,6
39,525,538,2925,16,6
290,1260,231,820,8,6
0.0001,153,130,677,13,6
15.55,7.4,7.4,41.93,6.35,6
35.1,50.6,16.1,93,1.1,6
0.0001,28,64,408,6,6
156,240,54,399,0.98,6
89,281,145,1216,22,6
1100,1600,221,2010,26,6
0.0001,0.0001,9,57,0.0001,6
137,369,144,1242,16,6
425,17424,7299,37043,158,6
30,25.5,31.5,93,1.8,6
107,143,34,222,2,6
860,1670,30,2050,40,6
0.0001,106,170,871,6,6
8,1,0.0001,60,0.0001,6
53,150,64,379,0.0001,6
400,940,210,820,24,6
199,770,217,1508,72,6
244,754,172,1281,27,6
60,144,67,449,9,6
6709,10500,1400,17700,750,6
86,277,63,338,0.0001,6
7,31,23,148,0.0001,6
300,700,280,1700,36,6
20,26,6,55,0.0001,6
3910,4290,626,6040,1230,6
23,14151,5332,23264,0.0001,6
135.65,278.53,58.86,492,2.95,6
9,47,144,628,0.0001,6
8,88,45,252,0.0001,6
179,306,73,579,0.0001,6
80,619,326,2480,0.0001,6
416,695,74,867,0.0001,6
19.3,103,159,19,0.6,6
137,279,66,505,0.0001,6
12705,23498,6047,34257,5188,6
46,147,27,150,0.0001,6
21,42,4,92,0.0001,6
165.62,240.95,61.32,514.53,13.53,6
39,7,12,65,0.0001,6
86,480,155,644,9,6
68,99.2,35.9,202.9,0.0001,6
172.9,334,172,812.5,37.7,6
164,244,103,497,8.3,6
20,48,36,186,0.0001,6
0.0001,0.0001,0.0001,142,0.0001,6
63,149.6,57.5,276,0.0001,6
121,450,146,898,116,6
30,51,12,54,0.0001,6
22400,22400,2690,13440,1570,6
36,30,10,93,7.1,6
17,40,11,86,0.0001,6
0.0001,3.4,0.0001,54,0.0001,6
18,35,2,110,0.0001,6
35,29,7,78,0.0001,6
6,2990,29990,26076,67,6
236,410.2,159,817.3,3.5,6
0.0001,100,309,1365,7,6
173,334,172,812.5,37.7,6
110,7,0.0001,0.0001,0.0001,1
240,20,5,28,96,1
5000,4000,2000,2000,8000,1
94.96,4.37,0.62,0.02,0.02,1
41,112,0.0001,254,4536,1
100,18,0.0001,0.0001,0.0001,1
37800,1740,249,8,8,1
103.5,4.7,16.3,3.5,0.0001,1
200,230,2,170,480,1
40280,1069,1060,1,1,1
116,14,134,5.3,0.0001,1
88,9,0.0001,0.03,0.0001,1
105,23,13,4,3,1
625,49,9,7,0.6,1
134,13,267,0.0001,0.0001,1
181.5,22,76,3.7,0.0001,1
121,3,1,0.0001,0.0001,1
16000,3600,670,14,0.0001,1
890,110,3,84,700,1
2091,149,20,3,0.0001,1
26788,18342,2111,27,0.0001,1
1950,123,38,2,2,1
650,53,35,20,0.0001,1
92.8,6.75,0.44,0.0001,0.0001,1
187,5,1,0.0001,0.0001,1
111.7,19.4,104.1,6.4,3.8,1
85.87,7.01,4.49,2.64,0.0001,1
195,5.3,0.0001,0.0001,0.0001,1
60,5,1,6,29,1
2240,360,25,169,828,1
720,7,0.0001,15,101,2
109,19,5,12,59,2
8,0.0001,0.0001,43,101,2
169,38,48.5,6.5,5.8,2
14.1,4,1.3,1.5,9.5,2
124,14,4,0.0001,13,2
174,27,6,12,29,2
179,39.3,64,654,168,2
160,10,3,1,1,2
4,1,2,7,52,2
1330,10,20,66,182,2
137,33,8,29,111,2
595,32,4,18,65,2
56,334.1,75,32,31,2
716,7.1,33,20,6.8,2
4230,690,5,196,1180,2
142,17,4,7,38,2
163,26,7,19,133,2
549,121.3,25.5,31.9,198.5,2
476,28,27,36,148,2
345,112.3,27.5,51.5,58.8,2
234.5,30.28,6.11,47.69,175.88,2
153,18,9,0.0001,11,2
1230,163,27,233,692,2
111,2.8,47,0.0001,27.5,2
500,97,193,40,121,2
1000,500,1,400,500,2
595,80,9,89,244,2
102,6,6,7,10,2
315,60,14,93,218,2
67.8,8.89,1.88,12.67,36.2,2
95,10,0.0001,11,39,2
4127,267,18,355,2060,2
1570,735,87,1330,1740,3
800,1393,304,2817,3000,3
29.1,11.4,1.41,20.34,37.6,3
245,120,18,131,167,3
61,21,2,26,89,3
99,170,20,200,190,3
243,127,20,122,588,3
2850,1115,138,1987,3675,3
512,87,11.5,163.59,185.21,3
235.46,333.59,177.52,1201.85,148.87,3
120,31,0.0001,66,94,3
615,200,42,102,68,3
24,13,5,43,319,3
56,10,1.3,13.5,17.6,3
85,49,4,50,399,3
5900,1500,68,1200,800,3
34,21,4,49,56,3
475.3,195.8,32.6,187.3,221.2,3
191,62,27,123,71,3
8200,3790,250,4620,5830,3
0.0001,0.0001,10,5,35,3
530,345,85,266,21,3
4,88,213,14,35,3
59,20,120,5.5,8.9,3
810,580,111,570,490,3
65.4,20.2,70,39,40.2,3
60,40,6.9,110,70,3
84,6,1,14,86,3
145.88,40.65,9.37,34.02,59.71,3
5000,1200,83,1000,1100,3
20000,13000,1850,29000,57000,3
10000,6730,345,7330,10400,3
420,250,41,530,800,3
70,4,91,0.0001,34,3
47,9,4,16,81,3
120,31,0.0001,66,94,3
5100,1430,0.0001,1140,1010,3
535,160,16,305,680,3
41,16,19,58,106,3
65,26.1,10.1,41.6,57.8,3
545,130,16,153,239,3
34,0.0001,0.0001,0.0001,44,3
57,15,3.1,23,25.3,3
161,38,210,13,0.0001,4
9,38,93,8,0.0001,4
55,22,0.5,2.6,0.0001,4
15,7,92,5,0.0001,4
14,14,124,7,1,4
625,130,47,2,0.0001,4
29,71,158,20,0.0001,4
17,21,118,0.0001,4,4
115,129,316,36,0.0001,4
13.2,18.7,97.4,79.5,4.7,4
10,44,106,28,0.0001,4
27,30,23,2.4,0.1,4
20,132,61,17,0.0001,4
42,124,1,8,0.0001,4
24,109,69,0.0001,0.0001,4
16,68,124,15,0.0001,4
16.4,45.5,68.7,3.8,0.0001,4
37,47,10,5.5,0.0001,4
86,8,2.5,2.5,0.0001,4
29.9,24.1,34.3,92.5,0.6,4
16,80,134,10,0.0001,4
66,60,2,7,0.0001,4
0.0001,43,146,9,0.0001,4
87.2,73.18,27.14,56.88,0.0001,4
128,35,213,17,0.0001,4
14,62,16,3,0.0001,4
37,123,67,52,0.0001,4
130,140,2,120,0.0001,4
43,28,72,9,0.0001,4
16,105,224,15,0.0001,4
19,62,95,5,0.0001,4
79,40,264,10,0.0001,4
69,174,267,15,0.0001,4
137,97,12,29,1.5,4
111,67,105,9,0.0001,4
0.0001,116,70,0.0001,0.0001,4
25,29,137,8,0.0001,4
20.37,59.79,45.24,80.49,0.0001,5
19,47,27,62,0.0001,5
88.7,460.8,94.9,184.6,18.3,5
24,78,266,779,7,5
0.7,1.5,0.3,1.8,0.0001,5
360,610,259,260,9,5
31,56,33,77,0.0001,5
24700,61000,26300,42100,1560,5
62,425,276,651,26,5
295,1466,331,1295,32,5
109,102,28,91,0.0001,5
47,120,90,198,3,5
144,1672,394,669,0.0001,5
3,5,90,185,3,5
20,41.9,20.2,44.2,0.38,5
50,274,95,320,6.3,5
151,242,68,232,0.0001,5
46.9,161.6,94.1,193.6,0.56,5
37,96,19,57,0.0001,5
670,224,45,67,2,5
27,90,42,63,0.2,5
128,419,269.5,614.1,0.35,5
160,130,33,96,0.1,5
172,335,171,812,37.8,6
1,8,8,100,6,6
507,1053,297,1440,17,6
24,20,4,87,0.0001,6
65,34,16,112,0.0001,6
4,2,1,63,0.0001,6
114,241,80,574,0.0001,6
117,167,48,481,7,6
11,13,2,127,0.0001,6
55,159,114,493,0.0001,6
1550,2740,816,5450,184,6
78,161,86,353,10,6
33,79,30,215,5,6
170,320,53,520,3.2,6
10,4,1,87,0.0001,6
2500,10500,4790,13500,6,6
56,286,96,928,7,6
53,189,25,295,5,6
0.0001,10,17,68,5,6
150,22,9,60,11,6
99,288,73,386,0.0001,6
27,51,0.0001,153,0.0001,6
480,1075,298,1132,0.0001,6
376,575,146,1092,0.0001,6
100,200,110,670,11,6
231,3997,1726,5584,0.0001,6
12,270,0.0001,275,0.0001,6
8.47,28.22,8.73,52.89,1.66,6
1860,4980,0.0001,10700,1600,6
28,62,16,76,0.0001,6
22.4,22.4,2.69,13.44,1.57,6
191,1359,166,1494,2,6
50,100,51,305,9,6
3420,7870,1500,6990,33,6
65,61,16,143,3,6
16,87,75,395,30,6
1374,2648,628,5376,298,6
135.88,362.42,125.22,826.65,3.74,6
34,174,52,361,0.0001,6
3675,6392,2500,7691,5,6
