h2,ch4,c2h6,c2h4,c2h2,fault
200.0,700.0,250.0,740.0,1.0,5
30.0,25.5,31.5,93.0,1.8,6
1309.0,124.0,113.0,6.0,0.0001,1
210.0,43.0,12.0,102.0,187.0,3
92600.0,10200.0,1.0,2.0,0.0001,1
36036.0,4704.0,554.0,5.0,10.0,1
54.9,8.8,80.0,2.5,0.0001,4
425.0,17424.0,7299.0,37043.0,158.0,6
8800.0,64064.0,72128.0,95650.0,0.0001,6
74.0,173.0,263.0,33.0,0.0001,4
10.0,56.0,72.0,70.0,0.0001,4
716.0,7.1,3.3,20.0,6.8,2
73.0,177.0,37.0,52.0,0.0001,5
217.0,286.0,14.0,458.0,884.0,3
0.0001,153.0,130.0,677.0,13.0,6
23.51,61.33,45.21,98.03,1.01,5
57.0,141.0,38.0,51.0,0.0001,5
39.0,525.0,538.0,2925.0,16.0,6
89.0,281.0,145.0,1216.0,22.0,6
95.0,110.0,160.0,50.0,0.0001,4
143.0,5.8,16.0,10.6,26.3,2
109.0,16.0,0.0001,0.0001,0.0001,1
24.0,47.0,113.0,10.0,0.0001,4
179.0,29.0,10.0,17.0,33.0,2
41.0,65.0,22.0,58.0,0.0001,5
101.0,8.1,0.0001,3.0,0.0001,1
25.0,9.0,6.0,5.0,44.0,3
8.0,1.0,0.0001,60.0,0.0001,6
87.0,34.0,23.0,15.0,60.0,3
85.0,98.0,315.0,30.0,0.0001,4
2240.0,157.0,90.0,157.0,45.0,1
290.0,1260.0,231.0,820.0,8.0,6
33046.0,619.0,58.0,2.0,0.0001,1
6454.0,2313.0,121.0,2159.0,6432.0,2
0.0001,0.0001,9.0,57.0,0.0001,6
160.0,10.0,3.0,1.0,1.0,1
254.0,5.2,0.0001,9.3,88.0,2
65.2,20.0,3.9,8.13,25.1,2
13500.0,6110.0,212.0,4510.0,4040.0,3
36.0,167.0,230.0,18.0,0.0001,4
2177.0,1049.0,207.0,440.0,705.0,2
12.0,28.0,102.0,3.0,0.0001,4
15.55,7.4,7.4,41.93,6.35,6
73.0,8.0,4.0,2.0,12.0,1
13.0,138.0,83.0,16.0,0.0001,4
0.0001,28.0,64.0,408.0,6.0,6
240.0,20.0,5.0,28.0,96.0,2
9340.0,995.0,60.0,6.0,7.0,1
119.0,670.0,286.0,934.0,19.0,5
7600.0,1230.0,318.0,836.0,1560.0,2
8266.0,1061.0,22.0,0.0001,0.0001,1
497.0,230.0,51.0,151.0,122.0,3
543.0,120.0,41.0,411.0,1880.0,2
195.9,14.5,11.6,2.4,0.0001,1
31.0,63.0,246.0,714.0,7.0,5
26.0,68.0,93.0,31.0,59.0,3
180.85,0.574,0.234,0.188,0.0001,1
2.0,5.0,81.0,172.0,0.0001,5
3559.0,187.0,22.0,230.0,1140.0,2
1900.0,285.0,31.0,957.0,7730.0,2
1607.0,615.0,80.0,916.0,1294.0,3
385.0,28.8,50.0,82.3,171.0,2
53.0,150.0,64.0,379.0,0.0001,6
199.0,770.0,217.0,1508.0,72.0,6
208.0,7.6,27.5,9.7,14.4,2
2240.0,168.0,25.0,0.0001,0.0001,1
1027.0,185.0,17.0,271.0,399.0,3
200.0,48.0,14.0,117.0,131.0,3
46.0,20.0,14.0,10.0,42.0,3
18.0,30.0,146.0,8.0,0.0001,4
78.0,66.0,62.0,2.6,0.0001,4
7.0,31.0,23.0,148.0,0.0001,6
143.2,123.0,38.0,75.0,0.0001,4
35.0,283.0,121.0,222.0,0.0001,5
27.0,28.0,136.0,8.0,0.0001,4
20.0,26.0,6.0,55.0,0.0001,6
109.0,226.0,68.0,192.0,0.0001,5
86.0,277.0,63.0,338.0,0.0001,6
307.0,22.0,2.0,33.0,109.0,2
613.0,3240.0,1432.0,2788.0,0.0001,5
35.0,6.0,3.0,26.0,482.0,2
45.0,125.0,111.0,25.0,0.0001,4
8.0,0.0001,0.0001,43.0,101.0,3
7150.0,1440.0,97.0,1210.0,1760.0,3
392.0,153.0,82.0,45.0,236.0,3
2004.0,9739.0,2750.0,5113.0,0.0001,5
65.5,23.3,1.0,2.1,26.0,2
400.0,940.0,210.0,820.0,24.0,6
2.0,123.0,7.0,18.0,0.0001,5
300.0,700.0,280.0,1700.0,36.0,6
6709.0,10500.0,1400.0,17700.0,750.0,6
55.0,22.0,358.0,2.6,0.0001,4
12.0,18.0,4.0,4.0,0.0001,4
113.0,137.0,173.0,34.0,0.0001,4
244.0,754.0,172.0,1281.0,27.0,6
56.0,61.0,75.0,32.0,31.0,1
10092.0,5399.0,530.0,6500.0,37565.0,2
1651.0,90.0,33.0,45.0,2.0,1
4480.0,560.0,380.0,403.0,896.0,1
6600.0,1000.0,38.0,2.0,19.0,1
92600.0,10200.0,0.0001,0.0001,0.0001,1
24.3,15.7,6.4,11.2,29.8,1
10.0,26.0,147.0,6.0,0.0001,4
843.0,133.0,12.0,168.0,385.0,2
37.0,11.8,15.5,43.6,83.3,3
114.0,41.0,27.0,15.0,42.0,3
30.4,117.0,44.2,138.0,0.1,5
60.0,144.0,67.0,449.0,9.0,6
24.0,80.0,258.0,741.0,6.0,5
34.0,8.6,70.3,3.1,0.0001,4
980.0,73.0,58.0,12.0,0.0001,1
225.0,4.7,0.0001,8.7,89.0,2
0.0001,6.0,52.0,67.0,0.0001,5
